FIPS,State,County,FIR,FIP,Lo_Thresh,Lo_Type,Hi_Thresh,Hi_Type,P_Below,P_Between,P_Above,CFIR,CFIP,C_Below,C_Above,Meal,Budget,Year,Total,White,Black,Native,Asian,Pacific,Other,Biracial
48001,TX,Anderson,0.21,12210,1.65,SNAP,1.85,Other Nutrition Program,0.482,0.048,0.47,0.249,2840.0,0.78,0.22,2.37,4981040,2010,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421
48003,TX,Andrews,0.147,2060,1.65,SNAP,1.85,Other Nutrition Program,0.619,0.101,0.28,0.288,1140.0,0.6,0.4,2.67,946750,2010,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753
48005,TX,Angelina,0.194,16570,1.65,SNAP,1.85,Other Nutrition Program,0.637,0.064,0.298,0.258,5890.0,0.74,0.26,2.23,6360380,2010,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786
48007,TX,Aransas,0.174,4050,1.65,SNAP,1.85,Other Nutrition Program,0.637,0.065,0.298,0.289,1340.0,0.69,0.31,2.27,1582470,2010,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295
48009,TX,Archer,0.149,1350,1.65,SNAP,1.85,Other Nutrition Program,0.457,0.089,0.453,0.209,460.0,0.45,0.55,2.64,613470,2010,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916
48011,TX,Armstrong,0.14,270,1.65,SNAP,1.85,Other Nutrition Program,0.517,0.043,0.44,0.213,100.0,0.66,0.34,2.34,108750,2010,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155
48013,TX,Atascosa,0.157,6900,1.65,SNAP,1.85,Other Nutrition Program,0.782,0.096,0.122,0.29,3660.0,0.69,0.31,2.06,2446650,2010,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487
48015,TX,Austin,0.162,4510,1.65,SNAP,1.85,Other Nutrition Program,0.504,0.108,0.388,0.209,1470.0,0.64,0.36,2.36,1832080,2010,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598
48017,TX,Bailey,0.163,1140,1.65,SNAP,1.85,Other Nutrition Program,0.95,0.05,0.0,0.249,530.0,1.0,0.0,2.42,474870,2010,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295
48019,TX,Bandera,0.173,3510,1.65,SNAP,1.85,Other Nutrition Program,0.584,0.056,0.36,0.281,1140.0,0.75,0.25,2.64,1595020,2010,20851.0,0.8205841446453408,0.005275526353652103,0.007529614886576184,0.0046520550573114,0.0007193899573161959,0.040765430914584434,0.12047383818521894
48021,TX,Bastrop,0.172,12420,1.65,SNAP,1.85,Other Nutrition Program,0.587,0.095,0.318,0.256,4780.0,0.7,0.3,2.18,4660510,2010,97216.0,0.5732595457537853,0.059239219881500986,0.01304312047399605,0.00786907504937459,0.0007611915734035549,0.17438487491770902,0.17144297235023043
48023,TX,Baylor,0.171,650,1.65,SNAP,1.85,Other Nutrition Program,0.688,0.119,0.193,0.251,210.0,0.79,0.21,2.6,290900,2010,3465.0,0.8761904761904762,0.01645021645021645,0.0031746031746031746,0.0025974025974025974,0.0,0.0329004329004329,0.06868686868686869
48025,TX,Bee,0.178,5690,1.65,SNAP,1.85,Other Nutrition Program,0.494,0.09,0.417,0.288,1910.0,0.6,0.4,2.11,2066570,2010,31047.0,0.4943150706992624,0.07714110864173672,0.00682835700711824,0.007118240087609109,0.0001288369246626083,0.23061809514606887,0.18385029149354204
48027,TX,Bell,0.186,54850,1.65,SNAP,1.85,Other Nutrition Program,0.531,0.07,0.399,0.223,18320.0,0.75,0.25,2.17,20487640,2010,370647.0,0.48678661907421344,0.2299789287381255,0.009318839758584314,0.030935094577859798,0.010155215069864318,0.08885273589156259,0.14397256688979002
48029,TX,Bexar,0.157,259380,1.65,SNAP,1.85,Other Nutrition Program,0.671,0.092,0.237,0.268,118570.0,0.63,0.37,2.16,96437480,2010,2009324.0,0.4577305601286801,0.08027923819155099,0.01154268798859716,0.03417816141149959,0.0017662656694490287,0.15344961788143674,0.2610534687287864
48031,TX,Blanco,0.15,1520,1.65,SNAP,1.85,Other Nutrition Program,0.568,0.107,0.325,0.215,470.0,0.77,0.23,2.72,711650,2010,11374.0,0.8136979075083524,0.006330226833128187,0.007649024090029892,0.0038684719535783366,0.0006154387198874626,0.06550026375945138,0.10233866713557235
48033,TX,Borden,0.12,70,1.65,SNAP,1.85,Other Nutrition Program,0.387,0.029,0.585,0.195,30.0,0.47,0.54,2.32,27950,2010,631.0,0.9128367670364501,0.001584786053882726,0.001584786053882726,0.0,0.0,0.017432646592709985,0.06656101426307448
